# Possibilities.csv																																		
# Massive list of possibilities to choose from	1	0	-100	0	0	0	-4	-4	-4	-4	-4	0	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
# Home alone things (Weekend)																																		
#	BW	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R
Eat whatever is at hand	1	0	-100	0	0	0	4	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Try to avoid starvation	1	0	-100	0	0	0	4	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
# Not hungry things																																		
Don't eat food. Well, not right now	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	-4	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Do something that doesn't involve eating	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	-4	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
# Thirsty things																																		
Drink water	1	0	-100	0	0	0	-5	3	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Drink a lot of water	1	0	-100	0	0	0	-5	4	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Drink an inhuman amount of water	1	0	-100	0	0	0	-5	5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Drink whatever is closest to you immediately	1	0	-100	0	0	0	-5	5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
# Not thirsty things																																		
Dang, you're hella hydrated	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	-4	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Don't worry about drinking water	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	-4	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Maybe eat some salt	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	-4	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
# Tired things																																		
Go to sleep, silly	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	-4	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Fall over immediately	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	-4	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Lose consciousness	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	-4	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Daydream	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	-2	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
# Energetic things																																		
Run around in circles	1	0	-100	0	0	0	-5	-5	4	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Do 50 jumping jacks	1	0	-100	0	0	0	-5	-5	4	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Do 20 pushups	1	0	-100	0	0	0	-5	-5	4	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Do 30 situps	1	0	-100	0	0	0	-5	-5	4	-5	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
# Introverted things																																		
Just hang out with yourself	1	0	-100	0	0	0	-5	-5	-5	4	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Recharge	1	0	-100	0	0	0	-5	-5	-5	4	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Go be comfy somewhere	1	0	-100	0	0	0	-5	-5	-5	4	-5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
# Extroverted things																																		
Talk to people	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	-4	5	1	0	0	0	0	0	0	0	0	0	0	0
I dunno, do extrovert stuff	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	-4	5	1	0	0	0	0	0	0	0	0	0	0	0
Go be the cool kid you never could be	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	-4	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
# Stressed things																																		
Inhale	1	0	-100	0	0	0	-5	-5	-5	-5	5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
Exhale	1	0	-100	0	0	0	-5	-5	-5	-5	5	0	6	100	23	4	1	5	5	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
# Relaxed things																																		
Melt	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	-4	1	0	0	0	0	0	0	0	0	0	0	0
Meditate	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	-4	1	0	0	0	0	0	0	0	0	0	0	0
Just take it easy, you're good	1	0	-100	0	0	0	-5	-5	-5	-5	-5	0	6	100	23	4	1	5	5	5	5	-4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
# Worktime things																																		
Concentrate on your work, slacker	1	0	-100	8	0	0	-4	-4	-4	-4	-4	0	4	100	17	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Watch anime without anyone noticing	1	0	-100	8	0	0	-4	-4	-4	-4	-4	0	4	100	17	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Fall asleep on your desk	1	0	-100	8	0	0	-4	-4	-4	-4	-4	0	4	100	17	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Take an early lunch	1	0	-100	8	0	0	-4	-4	-4	-4	-4	0	4	100	11	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Call Chris and ask what's up in Amsterdam	1	0	-100	8	0	0	-4	-4	-4	-4	-4	0	4	100	17	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Take a late lunch	1	0	-100	1	0	0	-4	-4	-4	-4	-4	0	4	100	17	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
																																		
# Morning things																																		
Eat breakfast	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	7	100	6	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Do some morning stretches	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	7	100	6	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Consider taking a sick day	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	7	100	4	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Evening things																																		
																																		
																																		
																																		
																																		
																																		
# Night things																																		
Why aren't you asleep?	1	0	-100	0	0	0	-4	-4	-4	-4	-4	0	6	100	4	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
It's way past your bedtime	1	0	-100	0	0	0	-4	-4	-4	-4	-4	0	6	100	4	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Consider sleeping	1	0	-100	0	0	0	-4	-4	-4	-4	-4	0	6	100	4	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Why aren't you asleep?	1	0	-100	22	0	0	-4	-4	-4	-4	-4	0	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
It's way past your bedtime	1	0	-100	22	0	0	-4	-4	-4	-4	-4	0	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Consider sleeping	1	0	-100	22	0	0	-4	-4	-4	-4	-4	0	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
# Monday things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Tuesday things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Wednesday things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Thursday things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Friday things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Saturday things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Sunday things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Past things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Future things																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
# Retrograde things																																		
Watch Mercury spin backwards	1	0	-100	0	0	0	-4	-4	-4	-4	-4	1	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Consult the astrological charts	1	0	-100	0	0	0	-4	-4	-4	-4	-4	1	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
